# File ORIGINALLY generated by...,,,,,,,,,
# program:      StateModGUI 07.03.01 (2009-06-19),,,,,,,,,
# user:         sam,,,,,,,,,
# date:         Wed Dec 22 18:50:32 MST 2010,,,,,,,,,
# host:         AMAZON,,,,,,,,,
# directory:    C:\CDSS\data\cm2009\statemod,,,,,,,,,
# command line: StateModGUI -home,,,,,,,,,
#            C:\Develop\StateModGUI_SourceBuild/StateModGUI/test/operational/CDSS,,,,,,,,,
#,,,,,,,,,
# ris ORIGINALLY had 133 out of 213 locations with missing spatial data.,,,,,,,,,
#
# Coordinates provided in updated file by Carolyn Fritz, CWCB, 2010-12-29, as "x-gui-MissingSpatial-ris.csv"
# File cleaned up by Steve Malers
#,,,,,,,,,
# Specify X and Y in projected coordinates to match other layer data.,,,,,,,,,
#,,,,,,,,,
"ID","Name","Long","Lat","X","Y","Note"
390548,DEWEESE DITCH,-107.449717,39.642645,289794.8,4390963.5,GUI Detected no coordinates
390635,PARACHUTE DITCH,-108.100575,39.476473,233300.5,4374243.8,GUI Detected no coordinates
390638,PIERSON AND HARRIS DITCH,-107.545501,39.62145,281508.1,4388839.6,GUI Detected no coordinates
390672,THOMPKINS DITCH,-107.575989,39.597435,278814.3,4386248.5,GUI Detected no coordinates
390825,WILLIAMS CANAL,-107.449211,39.605111,289724.6,4386796,GUI Detected no coordinates
404657,DIVIDE CR HL FEEDER D,,,,,GUI Detected no coordinatesDivision 4
450632,HOLMES DITCH,-107.914414,39.435264,249168.1,4369134.3,GUI Detected no coordinates
450685,MAMM CREEK DITCH,-107.702644,39.41811,267339.9,4366662.1,GUI Detected no coordinates
450788,SYKES AND ALVORD DITCH,-107.42453,39.473855,291451.1,4372169,GUI Detected no coordinates
450810,WARD AND REYNOLDS DITCH,-107.612006,39.523851,275484.1,4378169.7,GUI Detected no coordinates
500576,HAYPARK CANAL HGT NO 1,-106.260716,40.172733,392655.8,4447691.1,GUI Detected no coordinates
500593,KIRTZ DITCH NO 2,-106.310554,40.198845,388455,4450651,GUI Detected no coordinates
500598,LANDSLIDE DITCH,-106.284183,40.157549,390633.3,4446034.4,GUI Detected no coordinates
500601,MARTIN NO 1 DITCH,-106.571689,40.357221,366540,4468592,GUI Detected no coordinates
500627,PASS CREEK DITCH,-106.470075,40.140072,374769.2,4444339.9,GUI Detected no coordinates
500628,PICKERING DITCH,-106.313868,40.226591,388218.5,4453734.9,GUI Detected no coordinates
500656,TYLER DITCH,-106.429943,40.20827,378310,4451854,GUI Detected no coordinates
503668,WOLFORD MOUNTAIN RES,-106.373807,40.070698,382851.2,4436508.3,GUI Detected no coordinates
