# File generated by...
# program:      StateModGUI 07.03.01 (2009-06-19)
# user:         sam
# date:         Mon Dec 27 16:28:55 MST 2010
# host:         AMAZON
# directory:    C:\CDSS\data\cm2009\statemod
# command line: StateModGUI -home
#            C:\Develop\StateModGUI_SourceBuild/StateModGUI/test/operational/CDSS
#
# ifs has 105 out of 105 locations with missing spatial data.
#
# Specify X and Y in projected coordinates to match other layer data.
#
# Added the first one as a test but coordinates are bogus
#
"ID","Name","Long","Lat","X","Y","Note"
532002,MIN FLOW ROCK CREEK,,,,,"GUI Detected no coordinates"
532006,MIN FLOW SWEETWATER CR,,,,,"GUI Detected no coordinates"
532013,MIN FLOW NO NAME CREEK,,,,,"GUI Detected no coordinates"
532014,MIN FLOW DERBY CREEK,,,,,"GUI Detected no coordinates"
722001,MIN FLOW PLATEAU CREEK L,,,,,"GUI Detected no coordinates"
722001_2,MIN_FLOW_PLATEAU_2,,,,,"GUI Detected no coordinates"
722002,MIN FLOW LEON CREEK,,,,,"GUI Detected no coordinates"
950099,GVWM_Bypass,,,,,"GUI Detected no coordinates"
950500,Shoshone_Call_Flows,,,,,"GUI Detected no coordinates"
950639,Jim_Creek_Bypass,,,,,"GUI Detected no coordinates"
950786,Thomasville_Gage_Bypass,,,,,"GUI Detected no coordinates"
950920,UWCD_PLATEAU_BYPASS,,,,,"GUI Detected no coordinates"
951146,Wolcott_PP_Bypass,,,,,"GUI Detected no coordinates"
951269,Den_Ranch_Crk_Bypass,,,,,"GUI Detected no coordinates"
951309,St_Louis_Crk_Bypass,,,,,"GUI Detected no coordinates"
951310,Vasquez_Crk_Bypass,,,,,"GUI Detected no coordinates"
951594,Hunter_Crk_Bypass,,,,,"GUI Detected no coordinates"
952002,USFWS_Recomm._Fish_Flow,,,,,"GUI Detected no coordinates"
953508,Rifle_Gap_Res_Bypass,,,,,"GUI Detected no coordinates"
953543,Green_Mtn_Res_Bypass,,,,,"GUI Detected no coordinates"
953668,Wolford_Res_Bypass,,,,,"GUI Detected no coordinates"
953695,Shadow_Mtn_Res_Bypass,,,,,"GUI Detected no coordinates"
953709,Williams_Fork_Res_Bypass,,,,,"GUI Detected no coordinates"
953710,Willow_Crk_Res_Bypass,,,,,"GUI Detected no coordinates"
953713,Ruedi_Res_Bypass,,,,,"GUI Detected no coordinates"
954512,Dillon_Res_Min_Rel,,,,,"GUI Detected no coordinates"
954516,Gold_Park_Gage_Min_Flow,,,,,"GUI Detected no coordinates"
954603,Gumlick_Tunnel_Bypass,,,,,"GUI Detected no coordinates"
954620,Granby_Res_Min_Rel,,,,,"GUI Detected no coordinates"
954625,Boustead_Tunnel_Bypass,,,,,"GUI Detected no coordinates"
